date,state,region,covid-19 cases
22-01-20,Afghanistan,Asia,0
22-01-20,Albania,Europe,0
22-01-20,Algeria,Africa,0
22-01-20,Andorra,Europe,0
22-01-20,Angola,Africa,0
22-01-20,Antigua and Barbuda,Americas,0
22-01-20,Argentina,Americas,0
22-01-20,Armenia,Asia,0
22-01-20,Australia,Oceania,0
22-01-20,Austria,Europe,0
22-01-20,Azerbaijan,Asia,0
22-01-20,Bahamas,Americas,0
22-01-20,Bahrain,Asia,0
22-01-20,Bangladesh,Asia,0
22-01-20,Barbados,Americas,0
22-01-20,Belarus,Europe,0
22-01-20,Belgium,Europe,0
22-01-20,Benin,Africa,0
22-01-20,Bhutan,Asia,0
22-01-20,Bolivia,Americas,0
22-01-20,Bosnia and Herzegovina,Europe,0
22-01-20,Brazil,Americas,0
22-01-20,Brunei,Asia,0
22-01-20,Bulgaria,Europe,0
22-01-20,Burkina Faso,Africa,0
22-01-20,Cabo Verde,Africa,0
22-01-20,Cambodia,Asia,0
22-01-20,Cameroon,Africa,0
22-01-20,Canada,Americas,0
22-01-20,Central African Republic,Africa,0
22-01-20,Chad,Africa,0
22-01-20,Chile,Americas,0
22-01-20,China,Asia,548
22-01-20,Colombia,Americas,0
22-01-20,Congo (Brazzaville),Africa,0
22-01-20,Congo (Kinshasa),Africa,0
22-01-20,Costa Rica,Americas,0
22-01-20,Cote d'Ivoire,Africa,0
22-01-20,Croatia,Europe,0
22-01-20,Cuba,Americas,0
22-01-20,Cyprus,Asia,0
22-01-20,Czechia,Europe,0
22-01-20,Denmark,Europe,0
22-01-20,Djibouti,Africa,0
22-01-20,Dominican Republic,Americas,0
22-01-20,Ecuador,Americas,0
22-01-20,Egypt,Africa,0
22-01-20,El Salvador,Americas,0
22-01-20,Equatorial Guinea,Africa,0
22-01-20,Eritrea,Africa,0
22-01-20,Estonia,Europe,0
22-01-20,Eswatini,Africa,0
22-01-20,Ethiopia,Africa,0
22-01-20,Fiji,Oceania,0
22-01-20,Finland,Europe,0
22-01-20,France,Europe,0
22-01-20,Gabon,Africa,0
22-01-20,Gambia,Africa,0
22-01-20,Georgia,Asia,0
22-01-20,Germany,Europe,0
22-01-20,Ghana,Africa,0
22-01-20,Greece,Europe,0
22-01-20,Guatemala,Americas,0
22-01-20,Guinea,Africa,0
22-01-20,Guyana,Americas,0
22-01-20,Haiti,Americas,0
22-01-20,Holy See,Europe,0
22-01-20,Honduras,Americas,0
22-01-20,Hungary,Europe,0
22-01-20,Iceland,Europe,0
22-01-20,India,Asia,0
22-01-20,Indonesia,Asia,0
22-01-20,Iran,Asia,0
22-01-20,Iraq,Asia,0
22-01-20,Ireland,Europe,0
22-01-20,Israel,Asia,0
22-01-20,Italy,Europe,0
22-01-20,Jamaica,Americas,0
22-01-20,Japan,Asia,2
22-01-20,Jordan,Asia,0
22-01-20,Kazakhstan,Asia,0
22-01-20,Kenya,Africa,0
22-01-20,"Korea, South",Asia,1
22-01-20,Kuwait,Asia,0
22-01-20,Kyrgyzstan,Asia,0
22-01-20,Latvia,Europe,0
22-01-20,Lebanon,Asia,0
22-01-20,Liberia,Africa,0
22-01-20,Liechtenstein,Europe,0
22-01-20,Lithuania,Europe,0
22-01-20,Luxembourg,Europe,0
22-01-20,Madagascar,Africa,0
22-01-20,Malaysia,Asia,0
22-01-20,Maldives,Asia,0
22-01-20,Malta,Europe,0
22-01-20,Mauritania,Africa,0
22-01-20,Mauritius,Africa,0
22-01-20,Mexico,Americas,0
22-01-20,Moldova,Europe,0
22-01-20,Monaco,Europe,0
22-01-20,Mongolia,Asia,0
22-01-20,Montenegro,Europe,0
22-01-20,Morocco,Africa,0
22-01-20,Namibia,Africa,0
22-01-20,Nepal,Asia,0
22-01-20,Netherlands,Europe,0
22-01-20,New Zealand,Oceania,0
22-01-20,Nicaragua,Americas,0
22-01-20,Niger,Africa,0
22-01-20,Nigeria,Africa,0
22-01-20,North Macedonia,Europe,0
22-01-20,Norway,Europe,0
22-01-20,Oman,Asia,0
22-01-20,Pakistan,Asia,0
22-01-20,Panama,Americas,0
22-01-20,Papua New Guinea,Oceania,0
22-01-20,Paraguay,Americas,0
22-01-20,Peru,Americas,0
22-01-20,Philippines,Asia,0
22-01-20,Poland,Europe,0
22-01-20,Portugal,Europe,0
22-01-20,Qatar,Asia,0
22-01-20,Romania,Europe,0
22-01-20,Russia,Europe,0
22-01-20,Rwanda,Africa,0
22-01-20,Saint Lucia,Americas,0
22-01-20,Saint Vincent and the Grenadines,Americas,0
22-01-20,San Marino,Europe,0
22-01-20,Saudi Arabia,Asia,0
22-01-20,Senegal,Africa,0
22-01-20,Serbia,Europe,0
22-01-20,Seychelles,Africa,0
22-01-20,Singapore,Asia,0
22-01-20,Slovakia,Europe,0
22-01-20,Slovenia,Europe,0
22-01-20,Somalia,Africa,0
22-01-20,South Africa,Africa,0
22-01-20,Spain,Europe,0
22-01-20,Sri Lanka,Asia,0
22-01-20,Sudan,Africa,0
22-01-20,Suriname,Americas,0
22-01-20,Sweden,Europe,0
22-01-20,Switzerland,Europe,0
22-01-20,Taiwan*,Asia,1
22-01-20,Tanzania,Africa,0
22-01-20,Thailand,Asia,2
22-01-20,Togo,Africa,0
22-01-20,Trinidad and Tobago,Americas,0
22-01-20,Tunisia,Africa,0
22-01-20,Turkey,Asia,0
22-01-20,Uganda,Africa,0
22-01-20,Ukraine,Europe,0
22-01-20,United Arab Emirates,Asia,0
22-01-20,United Kingdom,Europe,0
22-01-20,Uruguay,Americas,0
22-01-20,US,Americas,1
22-01-20,Uzbekistan,Asia,0
22-01-20,Venezuela,Americas,0
22-01-20,Vietnam,Asia,0
22-01-20,Zambia,Africa,0
22-01-20,Zimbabwe,Africa,0
22-01-20,Dominica,Americas,0
22-01-20,Grenada,Americas,0
22-01-20,Mozambique,Africa,0
